filename,width,height,class,xmin,ymin,xmax,ymax
pic-113-_jpg.rf.59ab5bd4ba9f0202cd15f82e7109fc77.jpg,640,640,Pothole,157,422,424,625
pic-266-_jpg.rf.5924896fbc8c112511de0c67db59435b.jpg,640,640,Pothole,0,254,293,528
pic-266-_jpg.rf.5924896fbc8c112511de0c67db59435b.jpg,640,640,Pothole,249,592,338,640
pic-266-_jpg.rf.5924896fbc8c112511de0c67db59435b.jpg,640,640,Pothole,491,311,556,366
pic-255-_jpg.rf.58d537e75af0a9fe40651c5c9e5c6f10.jpg,640,640,Pothole,87,289,623,604
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,1,358,394,595
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,243,303,355,347
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,368,269,456,321
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,424,235,513,268
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,339,277,374,299
pic-14-_jpg.rf.5795a6265ed32db2ca7965aa7e0174b1.jpg,640,640,Pothole,357,223,416,244
pic-206-_jpg.rf.5e77130a98b6e44f7347f3fa12d59989.jpg,640,640,Pothole,556,405,623,444
pic-206-_jpg.rf.5e77130a98b6e44f7347f3fa12d59989.jpg,640,640,Pothole,58,45,143,72
pic-148-_jpg.rf.5a781d389cff26a6e2ee08ce9b0498e7.jpg,640,640,Pothole,69,296,640,640
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,275,323,490,505
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,207,568,312,640
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,602,457,640,612
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,546,261,640,372
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,95,203,183,254
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,121,137,273,185
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,1,214,64,337
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,244,242,296,274
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,524,201,569,232
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,375,174,416,214
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,319,236,360,261
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,454,286,510,324
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,450,186,492,210
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,445,156,478,171
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,589,173,628,202
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,234,89,313,128
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,37,114,101,158
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,288,193,334,215
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,124,56,232,103
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,175,96,238,113
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,133,110,169,135
pic-10-_jpg.rf.5a901c212d899a7dc7dc78be7de892c0.jpg,640,640,Pothole,298,159,332,179
pic-255-_jpg.rf.5b8acd3a5f571d5d7e245e1f950b92cc.jpg,640,640,Pothole,13,264,565,537
pic-174-_jpg.rf.5ec8f9ecd96971def7f6e5074c5e0373.jpg,640,640,Pothole,80,395,130,424
pic-174-_jpg.rf.5ec8f9ecd96971def7f6e5074c5e0373.jpg,640,640,Pothole,136,357,314,446
pic-64-_jpg.rf.5a0e8d02278b5430fa7bd514f437f041.jpg,640,640,Pothole,112,312,284,396
pic-64-_jpg.rf.5a0e8d02278b5430fa7bd514f437f041.jpg,640,640,Pothole,29,251,184,318
